nVox0 L0 nbSpheres nbThreads timeMerope timeTMFFT
32 20 1 4 0.008375167846679688 0.013433218002319336
32 40 15 4 0.011033773422241211 0.006145954132080078
32 80 121 4 0.015639305114746094 0.03360295295715332
32 160 977 4 0.04794144630432129 0.2920379638671875
32 320 7822 4 0.2962207794189453 2.2582263946533203
32 640 62581 4 2.3498287200927734 17.911438941955566
64 20 1 4 0.06325554847717285 0.07605290412902832
64 40 15 4 0.07997894287109375 0.04842662811279297
64 80 121 4 0.08613443374633789 0.246628999710083
64 160 977 4 0.12781071662902832 2.2075908184051514
64 320 7822 4 0.40836071968078613 17.944039583206177
64 640 62581 4 2.42875075340271 142.69421315193176
128 20 1 4 0.5281064510345459 0.6268470287322998
128 40 15 4 0.6367893218994141 0.4505026340484619
128 80 121 4 0.6280558109283447 2.0108463764190674
128 160 977 4 0.6783974170684814 17.345975875854492
128 320 7822 4 1.0673718452453613 143.0840528011322
128 640 62581 4 3.375166416168213 1139.4275588989258
256 20 1 4 4.460408449172974 4.860743284225464
256 40 15 4 5.520969390869141 3.6827433109283447
256 80 121 4 5.246454238891602 15.528351783752441
256 160 977 4 5.238227844238281 138.15637302398682
256 320 7822 4 6.043051242828369 1143.7851929664612
256 640 62581 4 9.419297933578491 9100.597002744675
512 20 1 4 35.3086633682251 40.66272592544556
512 40 15 4 47.46582508087158 27.90974760055542
512 80 121 4 42.16259574890137 123.81670212745667
512 160 977 4 41.84287238121033 1096.5942013263702
512 320 7822 4 43.71991848945618 9082.91746020317
